surveyid,survey_date,femaleres,age,married,children,edu,hh_totalmembers,asset_savings,cons_alcohol,cons_tobacco,cons_med_total,cons_ed,cons_social,cons_other,ent_income,med_portion_sickinjured,med_port_sick_child,durable_investment,depressed
926,23-Nov-61,1,28,1,4,10,,0,0,0,0,0,0,0,0,,,0,0
747,24-Oct-61,1,23,1,3,8,,0,0,0,0,0,0,0,0,,,0,1
1190,05-Oct-61,1,22,1,3,9,,0,0,0,0,0,0,0,0,,,0,0
1065,23-Sep-61,1,27,1,2,10,4,49.647648,0,0,4.1639962,1.6816138,39.7715,44.042267,17.890503,0,0,778.1123,0
806,12-Sep-61,0,59,0,4,10,6,0,0,0,0.80076849,2.2688441,8.0877619,74.503502,2.0731006,0.33333334,0.25,201.00562,0
483,08-Sep-61,1,35,1,6,10,8,0,,5.5825005,0,2.6692283,3.0696127,11.531066,4.993681,0.125,0,444.2561,0
849,31-Oct-61,0,34,0,1,9,3,0,0,0,0.1601537,0.53384566,0.066730708,10.890451,0.022243569,1,1,225.62288,1
1386,03-Sep-61,1,21,1,2,10,4,48.046108,0,0,0,2.8560743,0.80076849,5.8456101,3.6979933,0.5,0.5,339.22659,0
930,12-Nov-61,1,32,1,7,9,9,80.076851,0,0,0,15.134524,30.162281,67.184479,55.964821,0.11111111,0.14285715,1401.8381,0
390,28-Nov-61,1,29,1,4,10,,0,0,0,0,0,0,0,0,,,0,0
540,26-Oct-61,1,84,0,0,1,,0,0,0,0,0,0,0,0,,,0,1
557,15-Sep-60,1,59,0,2,9,3,0,0,0,0,14.013449,2.62919,30.108896,6.2015071,0.66666669,0.5,157.14453,0
1280,03-Nov-61,1,38,1,4,10,6,0,0,0,40.839195,7.4738393,10.810375,49.8078,8.2345686,0.83333331,1,207.45816,0
1195,18-Sep-61,1,27.5,1,4,10,6,0,0,4.8846879,0,6.6730709,21.220366,105.06083,5.4719186,0.33333334,0.5,624.05292,0
603,21-Sep-60,1,56,1,0,12,2,59.25687,0,0,5.6053796,0,34.566505,72.469551,11.944798,1,,1240.2556,1
729,20-Sep-61,1,24,1,2,10,5,1.601537,0,,0,0,3.8169963,37.860336,3.2609074,0.40000001,0.5,239.91919,0
770,29-Oct-61,1,25,1,3,10,5,8.0076847,0,0,0,0,4.0705733,40.278656,4.4843035,0.60000002,0.66666669,115.96846,0
76,28-Nov-61,1,44,1,5,12,,0,0,0,0,0,0,0,0,,,0,0
1374,19-Nov-61,1,32,1,4,9,,0,0,0,0,0,0,0,0,,,0,0
